                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     78,                 1.6285,                0.97247,                 1.4417,                0.94754,                0.71667,                0.76896,                 0.3542,                 1.9216,                0.97886,                 1.3198,              0.0014918,              0.0014918,              0.0014918
                     79,                 1.5589,                0.95479,                 1.3992,                0.82761,                0.73333,                0.79316,                0.35853,                 1.9603,                0.98451,                 1.3558,              0.0014852,              0.0014852,              0.0014852
                     80,                 1.6559,                0.99757,                 1.4437,                0.83079,                 0.6547,                0.74664,                0.34548,                 1.8266,                0.97981,                 1.3167,              0.0014786,              0.0014786,              0.0014786
                     81,                 1.6179,                 0.9785,                 1.3639,                0.85147,                0.53333,                0.63295,                0.30303,                 1.9517,                 1.1716,                 1.3357,               0.001472,               0.001472,               0.001472
                     82,                 1.6839,                 1.0254,                  1.384,                 0.8777,                   0.75,                0.77486,                0.36813,                 1.8165,                0.87829,                 1.3239,              0.0014654,              0.0014654,              0.0014654
                     83,                 1.5775,                0.94732,                 1.3601,                0.89552,                0.71434,                0.78358,                 0.3725,                 1.7502,                0.92251,                 1.2788,              0.0014588,              0.0014588,              0.0014588
                     84,                 1.6916,                0.99675,                 1.4118,                0.76935,                0.66667,                0.72228,                0.31618,                 1.8745,                 1.2234,                 1.3902,              0.0014522,              0.0014522,              0.0014522
                     85,                 1.5097,                0.95759,                 1.3591,                0.89402,                0.70305,                0.77601,                0.36507,                 1.7716,                0.90048,                 1.3076,              0.0014456,              0.0014456,              0.0014456
                     86,                 1.6328,                0.97899,                 1.4105,                0.90387,                0.73333,                0.77735,                0.35862,                 1.8105,                0.90594,                  1.304,               0.001439,               0.001439,               0.001439
                     87,                  1.501,                0.96713,                 1.3699,                0.81284,                0.66667,                0.73115,                0.33599,                 1.7998,                 1.0901,                 1.2442,              0.0014324,              0.0014324,              0.0014324
                     88,                  1.612,                0.99306,                 1.4499,                0.80148,                    0.7,                0.72613,                0.35812,                 1.7643,                0.96227,                 1.2766,              0.0014258,              0.0014258,              0.0014258
                     89,                  1.554,                0.97443,                 1.3762,                0.94926,                    0.7,                0.74983,                0.37624,                 1.7402,                 1.1054,                 1.2911,              0.0014192,              0.0014192,              0.0014192
                     90,                 1.5863,                0.96514,                 1.4172,                0.92279,                0.66667,                0.71505,                 0.3478,                 1.7554,                 1.0642,                 1.3335,              0.0014126,              0.0014126,              0.0014126
                     91,                 1.5685,                0.99887,                 1.3941,                0.87328,                0.68333,                0.77221,                0.35424,                 1.6739,                0.94075,                 1.2687,               0.001406,               0.001406,               0.001406
                     92,                 1.5496,                 0.9691,                 1.3836,                0.85975,                0.71667,                0.72094,                 0.3353,                 1.7855,                0.87815,                 1.3518,              0.0013994,              0.0013994,              0.0013994
                     93,                 1.4965,                0.96037,                 1.3533,                0.82088,                0.68333,                0.71881,                0.32113,                 1.9426,                 1.1714,                 1.3357,              0.0013928,              0.0013928,              0.0013928
                     94,                 1.5939,                0.99561,                 1.4327,                0.81458,                0.73333,                0.75167,                0.34208,                  1.944,                 1.1066,                 1.4014,              0.0013862,              0.0013862,              0.0013862
                     95,                 1.5629,                0.94235,                  1.344,                0.77371,                0.74088,                0.73104,                0.36316,                  1.805,                0.89433,                 1.3217,              0.0013796,              0.0013796,              0.0013796
                     96,                 1.5058,                0.89366,                 1.3324,                0.81433,                0.68333,                0.72166,                0.35555,                 1.7884,                0.97243,                 1.3167,               0.001373,               0.001373,               0.001373
                     97,                 1.5313,                0.90837,                 1.3468,                0.91235,                    0.7,                0.76046,                0.34788,                 1.7466,                0.98536,                 1.2724,              0.0013664,              0.0013664,              0.0013664
                     98,                 1.4748,                0.90917,                 1.3421,                0.83215,                0.68333,                0.73347,                0.34562,                  1.731,                 1.0988,                 1.3344,              0.0013598,              0.0013598,              0.0013598
                     99,                 1.4869,                 0.9323,                 1.3347,                0.86315,                    0.8,                0.80741,                0.38042,                 1.7032,                0.97036,                  1.269,              0.0013532,              0.0013532,              0.0013532
